trade_date,open,high,low,close,volume,amount,pct_chg
2018-01-02,23.41,23.65,22.97,23.06,20728.01,110601.102,
2018-01-03,23.11,23.23,22.78,23.05,27797.96,146896.171,-0.06
2018-01-04,23.17,24.1,23.05,24.07,58570.46,319691.873,4.45
2018-01-05,24.2,24.2,23.55,23.64,37049.88,203118.727,-1.77
2018-01-08,23.42,23.82,23.1,23.42,27417.28,148020.942,-0.94
2018-01-09,23.39,24.26,23.36,24.22,34455.11,189735.254,3.39
2018-01-10,24.14,24.83,23.89,24.82,36236.79,204207.723,2.47
2018-01-11,24.75,25.07,24.31,24.54,21675.97,123168.742,-1.12
2018-01-12,24.55,24.87,24.17,24.79,18587.26,105197.54,1.04
2018-01-15,25.06,25.56,24.63,25.12,25296.44,146136.49,1.33
2018-01-16,25.12,25.98,24.84,25.37,38909.76,229100.482,0.98
2018-01-17,25.38,25.58,24.01,24.86,44532.02,253798.183,-2.02
2018-01-18,24.72,25.09,24.31,24.43,23686.93,134429.108,-1.71
2018-01-19,24.4,24.86,24.14,24.63,18398.55,104249.695,0.78
2018-01-22,24.54,25.35,24.4,24.89,29352.17,166995.657,1.06
2018-01-23,24.9,25.13,24.66,24.79,26606.08,152480.257,-0.4
2018-01-24,24.73,24.92,24.27,24.3,26954.03,151865.178,-1.98
2018-01-25,24.4,24.52,24.01,24.13,26365.48,147307.688,-0.7
2018-01-26,24.14,25.26,24.14,24.96,36415.14,208439.509,3.46
2018-01-29,24.83,25.27,23.64,23.67,29316.29,164003.682,-5.17
2018-01-30,23.66,23.68,23.25,23.31,19919.93,107719.546,-1.54
2018-01-31,23.31,24.51,23.31,24.47,28584.86,158058.004,4.99
2018-02-01,24.47,24.83,23.88,24.18,20823.46,116749.05,-1.17
2018-02-02,24.73,24.75,23.72,24.47,21319.19,120293.381,1.2
2018-02-05,24.47,24.47,23.36,23.89,19208.49,105833.798,-2.38
2018-02-06,23.01,23.4,22.15,22.4,40388.14,210799.415,-6.25
2018-02-07,23.1,23.1,22.27,22.35,31948.51,166714.188,-0.23
